id,title,artist_channel,language,era,popularity,views,likes,duration_seconds,duration,published_at,youtube_video_id,youtube_url
380,GULON SE : Indie | AARKA MUSIC | ANSHUL RAJPUT,AARKA MUSIC,English/International,2020s,Medium,128946,2849,212,3:32,2025-11-27T12:59:15Z,zBI5HFLMN-I,https://www.youtube.com/watch?v=zBI5HFLMN-I
381,Sahiba,Aditya Rikhari - Topic,English/International,2020s,Top Hit,132802470,1080960,191,3:11,2023-12-19T05:31:31Z,tNc2coVC2aw,https://www.youtube.com/watch?v=tNc2coVC2aw
382,Finding Her (Jana Mere Sawalon Ka Manzar Tu) : Kushagra | Vanshika | Bharath | Karan Maini |UR Debut,UR DEBUT,English/International,2020s,Top Hit,219911093,1465118,213,3:33,2025-01-29T06:34:11Z,3Cp2QTBZAFQ,https://www.youtube.com/watch?v=3Cp2QTBZAFQ
383,Aarzu,Noor - Topic,English/International,2020s,Very Popular,20859143,259108,188,3:08,2026-02-02T09:54:49Z,1gcG6j_RD1k,https://www.youtube.com/watch?v=1gcG6j_RD1k
384,God Mode - Video Song | Suriya's Karuppu | RJ Balaji |@SaiAbhyankkar| Trisha |Dream Warrior Pictures,Think Music India,English/International,2020s,Very Popular,37945517,222447,253,4:13,2026-06-04T13:30:05Z,_Vp-jCG7gno,https://www.youtube.com/watch?v=_Vp-jCG7gno
385,MITRAZ - Akhiyaan (Official Music Video),MITRAZ,English/International,2020s,Top Hit,111510676,836617,191,3:11,2022-09-05T06:01:22Z,xEALTVLxrDw,https://www.youtube.com/watch?v=xEALTVLxrDw
386,Mann (Official Music Video)- The Yellow Diary ft. @tarini_shah| @moseskoul  | Love song 2023,The Yellow Diary,English/International,2020s,Very Popular,9808620,171063,223,3:43,2023-08-31T12:30:11Z,eTucXMU8ctw,https://www.youtube.com/watch?v=eTucXMU8ctw
387,KALYANI (with Shreya Ghoshal) ARJN | KDS | FIFTY4 | RONN | Kya Fitoor Door Raha Kyun JaayeNa Lyrical,Universal Music India,English/International,2020s,Very Popular,11366368,98507,249,4:09,2026-07-31T05:30:11Z,z5y8Clp_TdE,https://www.youtube.com/watch?v=z5y8Clp_TdE
388,Ritviz - Liggi [Official Music Video],RITVIZ,English/International,2010s,Top Hit,239936447,2535906,192,3:12,2019-12-23T06:23:53Z,6BYIKEH0RCQ,https://www.youtube.com/watch?v=6BYIKEH0RCQ
389,​@SaiAbhyankkar - Vizhi Veekura (Music Video)| Saanve Megghana| Sai Smriti|Adesh| Thejo| Think Indie,Think Music India,English/International,2020s,Very Popular,35772967,302934,294,4:54,2025-09-04T14:34:07Z,_e45NEdNMXE,https://www.youtube.com/watch?v=_e45NEdNMXE
390,Zaroor – Aparshakti Khurana | Savi Kahlon | Official Music Video,Sony Music India,Hindi,2020s,Very Popular,66870138,341609,167,2:47,2024-09-04T14:00:08Z,YrJ6OZ7VVWc,https://www.youtube.com/watch?v=YrJ6OZ7VVWc
391,Mann Bawra (Official Video)| Adarsh Rao| Indie Songs| New Indian Indie Song 2024 |Latest Indie Songs,ffs.,English/International,2020s,Popular,1089840,10265,204,3:24,2024-12-12T07:19:00Z,sz0vrNLFvz0,https://www.youtube.com/watch?v=sz0vrNLFvz0
392,"sun saawariya | Official Visualiser | Accha Insaan, AtharvaMusic, Yaani Karnawat",Accha Insaan,English/International,2020s,Very Popular,18799930,167126,163,2:43,2026-02-12T15:39:46Z,go-j1EpaGVo,https://www.youtube.com/watch?v=go-j1EpaGVo
393,New Song 2026 | New Hindi Song | Darmiyaan | Shahid Kapoor | Kriti Sanon | New Song,Sagar Bairagi,Hindi,2020s,Medium,564086,1516,311,5:11,2026-08-20T13:30:20Z,wYXiE2hc_go,https://www.youtube.com/watch?v=wYXiE2hc_go
394,Kitse | Nyn Music | Mohito | Latest Haryanvi Song | Indie Folk | 2023,Nyn Music,English/International,2020s,Very Popular,14032967,218608,200,3:20,2023-02-12T10:30:10Z,ALZzTBqDvL4,https://www.youtube.com/watch?v=ALZzTBqDvL4
395,Shael Oswal - Hiriye (Official Music Video) | Revibe | Hindi Songs,Universal Music India,Hindi,2020s,Very Popular,34608002,381401,274,4:34,2023-10-30T04:30:07Z,CoEmMKrFY2k,https://www.youtube.com/watch?v=CoEmMKrFY2k
396,Made In India - Alisha Chinai | Official Video | Biddu | Shyam Anuragi,SonyMusicIndiaVEVO,English/International,2010s,Top Hit,173279347,916262,260,4:20,2014-03-19T07:00:01Z,IvloHsmi_vg,https://www.youtube.com/watch?v=IvloHsmi_vg
397,Taba Chake - Udd Chala (Official Video),Taba Chake,English/International,2020s,Very Popular,7740847,226902,289,4:49,2023-02-09T05:30:46Z,mg291dg1nHI,https://www.youtube.com/watch?v=mg291dg1nHI
398,Paal Dabba x ofRo - Kaathu Mela (Music Video) | Think Indie,Think Music India,English/International,2020s,Very Popular,90909000,699301,196,3:16,2024-07-17T13:28:07Z,WrV0CTnqUJA,https://www.youtube.com/watch?v=WrV0CTnqUJA
